areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,21/10/2020,256,687327
nation,England,E92000001,20/10/2020,10529,687071
nation,England,E92000001,19/10/2020,20305,676542
nation,England,E92000001,18/10/2020,11607,656237
nation,England,E92000001,17/10/2020,12180,644630
nation,England,E92000001,16/10/2020,14437,632450
nation,England,E92000001,15/10/2020,15156,618013
nation,England,E92000001,14/10/2020,16413,602857
nation,England,E92000001,13/10/2020,15397,586444
nation,England,E92000001,12/10/2020,16163,571047
nation,England,E92000001,11/10/2020,9608,554884
nation,England,E92000001,10/10/2020,10146,545276
nation,England,E92000001,09/10/2020,12992,535130
nation,England,E92000001,08/10/2020,15246,522138
nation,England,E92000001,07/10/2020,15180,506892
nation,England,E92000001,06/10/2020,14290,491712
nation,England,E92000001,05/10/2020,14016,477422
nation,England,E92000001,04/10/2020,9808,463406
nation,England,E92000001,03/10/2020,9692,453598
nation,England,E92000001,02/10/2020,11551,443906
nation,England,E92000001,01/10/2020,11291,432355
nation,England,E92000001,30/09/2020,10508,421064
nation,England,E92000001,29/09/2020,8722,410556
nation,England,E92000001,28/09/2020,8567,401834
nation,England,E92000001,27/09/2020,6026,393267
nation,England,E92000001,26/09/2020,5645,387241
nation,England,E92000001,25/09/2020,6045,381596
nation,England,E92000001,24/09/2020,6292,375551
nation,England,E92000001,23/09/2020,5880,369259
nation,England,E92000001,22/09/2020,5369,363379
nation,England,E92000001,21/09/2020,4693,358010
nation,England,E92000001,20/09/2020,4619,353317
nation,England,E92000001,19/09/2020,4183,348698
nation,England,E92000001,18/09/2020,4280,344515
nation,England,E92000001,17/09/2020,3936,340235
nation,England,E92000001,16/09/2020,3745,336299
nation,England,E92000001,15/09/2020,3046,332554
nation,England,E92000001,14/09/2020,2895,329508
nation,England,E92000001,13/09/2020,1711,326613
nation,England,E92000001,12/09/2020,2211,324902
nation,England,E92000001,11/09/2020,2857,322691
nation,England,E92000001,10/09/2020,3102,319834
nation,England,E92000001,09/09/2020,2851,316732
nation,England,E92000001,08/09/2020,3001,313881
nation,England,E92000001,07/09/2020,3465,310880
nation,England,E92000001,06/09/2020,2055,307415
nation,England,E92000001,05/09/2020,2191,305360
nation,England,E92000001,04/09/2020,2588,303169
nation,England,E92000001,03/09/2020,2666,300581
nation,England,E92000001,02/09/2020,2619,297915
nation,England,E92000001,01/09/2020,1930,295296
nation,England,E92000001,31/08/2020,1259,293366
nation,England,E92000001,30/08/2020,980,292107
nation,England,E92000001,29/08/2020,1045,291127
nation,England,E92000001,28/08/2020,1389,290082
nation,England,E92000001,27/08/2020,1338,288693
nation,England,E92000001,26/08/2020,1141,287355
nation,England,E92000001,25/08/2020,1060,286214
nation,England,E92000001,24/08/2020,1082,285154
nation,England,E92000001,23/08/2020,693,284072
nation,England,E92000001,22/08/2020,715,283379
nation,England,E92000001,21/08/2020,1005,282664
nation,England,E92000001,20/08/2020,1220,281659
nation,England,E92000001,19/08/2020,1072,280439
nation,England,E92000001,18/08/2020,925,279367
nation,England,E92000001,17/08/2020,1138,278442
nation,England,E92000001,16/08/2020,527,277304
nation,England,E92000001,15/08/2020,645,276777
nation,England,E92000001,14/08/2020,1044,276132
nation,England,E92000001,13/08/2020,1018,275088
nation,England,E92000001,12/08/2020,1093,274070
nation,England,E92000001,11/08/2020,1212,272977
nation,England,E92000001,10/08/2020,1351,271765
nation,England,E92000001,09/08/2020,557,270414
nation,England,E92000001,08/08/2020,635,269857
nation,England,E92000001,07/08/2020,864,269222
nation,England,E92000001,06/08/2020,978,268358
nation,England,E92000001,05/08/2020,942,267380
nation,England,E92000001,04/08/2020,921,266438
nation,England,E92000001,03/08/2020,939,265517
nation,England,E92000001,02/08/2020,513,264578
nation,England,E92000001,01/08/2020,494,264065
nation,England,E92000001,31/07/2020,624,263571
nation,England,E92000001,30/07/2020,856,262947
nation,England,E92000001,29/07/2020,974,262091
nation,England,E92000001,28/07/2020,782,261117
nation,England,E92000001,27/07/2020,810,260335
nation,England,E92000001,26/07/2020,515,259525
nation,England,E92000001,25/07/2020,492,259010
nation,England,E92000001,24/07/2020,712,258518
nation,England,E92000001,23/07/2020,734,257806
nation,England,E92000001,22/07/2020,749,257072
nation,England,E92000001,21/07/2020,691,256323
nation,England,E92000001,20/07/2020,753,255632
nation,England,E92000001,19/07/2020,413,254879
nation,England,E92000001,18/07/2020,466,254466
nation,England,E92000001,17/07/2020,547,254000
nation,England,E92000001,16/07/2020,639,253453
nation,England,E92000001,15/07/2020,725,252814
nation,England,E92000001,14/07/2020,650,252089
nation,England,E92000001,13/07/2020,689,251439
nation,England,E92000001,12/07/2020,351,250750
nation,England,E92000001,11/07/2020,422,250399
nation,England,E92000001,10/07/2020,522,249977
nation,England,E92000001,09/07/2020,681,249455
nation,England,E92000001,08/07/2020,673,248774
nation,England,E92000001,07/07/2020,558,248101
nation,England,E92000001,06/07/2020,657,247543
nation,England,E92000001,05/07/2020,540,246886
nation,England,E92000001,04/07/2020,385,246346
nation,England,E92000001,03/07/2020,539,245961
nation,England,E92000001,02/07/2020,560,245422
nation,England,E92000001,01/07/2020,606,244862
nation,England,E92000001,30/06/2020,570,244256
nation,England,E92000001,29/06/2020,666,243686
nation,England,E92000001,28/06/2020,411,243020
nation,England,E92000001,27/06/2020,502,242609
nation,England,E92000001,26/06/2020,645,242107
nation,England,E92000001,25/06/2020,635,241462
nation,England,E92000001,24/06/2020,728,240827
nation,England,E92000001,23/06/2020,728,240099
nation,England,E92000001,22/06/2020,813,239371
nation,England,E92000001,21/06/2020,550,238558
nation,England,E92000001,20/06/2020,628,238008
nation,England,E92000001,19/06/2020,810,237380
nation,England,E92000001,18/06/2020,943,236570
nation,England,E92000001,17/06/2020,913,235627
nation,England,E92000001,16/06/2020,992,234714
nation,England,E92000001,15/06/2020,938,233722
nation,England,E92000001,14/06/2020,746,232784
nation,England,E92000001,13/06/2020,787,232038
nation,England,E92000001,12/06/2020,936,231251
nation,England,E92000001,11/06/2020,916,230315
nation,England,E92000001,10/06/2020,1086,229399
nation,England,E92000001,09/06/2020,1058,228313
nation,England,E92000001,08/06/2020,989,227255
nation,England,E92000001,07/06/2020,665,226266
nation,England,E92000001,06/06/2020,721,225601
nation,England,E92000001,05/06/2020,1018,224880
nation,England,E92000001,04/06/2020,1143,223862
nation,England,E92000001,03/06/2020,1241,222719
nation,England,E92000001,02/06/2020,1355,221478
nation,England,E92000001,01/06/2020,1314,220123
nation,England,E92000001,31/05/2020,985,218809
nation,England,E92000001,30/05/2020,1000,217824
nation,England,E92000001,29/05/2020,1371,216824
nation,England,E92000001,28/05/2020,1569,215453
nation,England,E92000001,27/05/2020,1612,213884
nation,England,E92000001,26/05/2020,1462,212272
nation,England,E92000001,25/05/2020,1378,210810
nation,England,E92000001,24/05/2020,1198,209432
nation,England,E92000001,23/05/2020,1300,208234
nation,England,E92000001,22/05/2020,1797,206934
nation,England,E92000001,21/05/2020,2274,205137
nation,England,E92000001,20/05/2020,2353,202863
nation,England,E92000001,19/05/2020,2585,200510
nation,England,E92000001,18/05/2020,2218,197925
nation,England,E92000001,17/05/2020,1589,195707
nation,England,E92000001,16/05/2020,1772,194118
nation,England,E92000001,15/05/2020,2130,192346
nation,England,E92000001,14/05/2020,2211,190216
nation,England,E92000001,13/05/2020,2878,188005
nation,England,E92000001,12/05/2020,2927,185127
nation,England,E92000001,11/05/2020,3068,182200
nation,England,E92000001,10/05/2020,2004,179132
nation,England,E92000001,09/05/2020,1792,177128
nation,England,E92000001,08/05/2020,2618,175336
nation,England,E92000001,07/05/2020,3202,172718
nation,England,E92000001,06/05/2020,3271,169516
nation,England,E92000001,05/05/2020,3144,166245
nation,England,E92000001,04/05/2020,2843,163101
nation,England,E92000001,03/05/2020,2628,160258
nation,England,E92000001,02/05/2020,2749,157630
nation,England,E92000001,01/05/2020,4091,154881
nation,England,E92000001,30/04/2020,4312,150790
nation,England,E92000001,29/04/2020,4740,146478
nation,England,E92000001,28/04/2020,4124,141738
nation,England,E92000001,27/04/2020,4036,137614
nation,England,E92000001,26/04/2020,3133,133578
nation,England,E92000001,25/04/2020,3376,130445
nation,England,E92000001,24/04/2020,4360,127069
nation,England,E92000001,23/04/2020,4561,122709
nation,England,E92000001,22/04/2020,4797,118148
nation,England,E92000001,21/04/2020,3973,113351
nation,England,E92000001,20/04/2020,3692,109378
nation,England,E92000001,19/04/2020,3471,105686
nation,England,E92000001,18/04/2020,4115,102215
nation,England,E92000001,17/04/2020,4078,98100
nation,England,E92000001,16/04/2020,4361,94022
nation,England,E92000001,15/04/2020,4232,89661
nation,England,E92000001,14/04/2020,3558,85429
nation,England,E92000001,13/04/2020,3446,81871
nation,England,E92000001,12/04/2020,2945,78425
nation,England,E92000001,11/04/2020,3081,75480
nation,England,E92000001,10/04/2020,3585,72399
nation,England,E92000001,09/04/2020,4056,68814
nation,England,E92000001,08/04/2020,4301,64758
nation,England,E92000001,07/04/2020,4580,60457
nation,England,E92000001,06/04/2020,4387,55877
nation,England,E92000001,05/04/2020,3087,51490
nation,England,E92000001,04/04/2020,3391,48403
nation,England,E92000001,03/04/2020,4110,45012
nation,England,E92000001,02/04/2020,4062,40902
nation,England,E92000001,01/04/2020,4099,36840
nation,England,E92000001,31/03/2020,3784,32741
nation,England,E92000001,30/03/2020,3523,28957
nation,England,E92000001,29/03/2020,2439,25434
nation,England,E92000001,28/03/2020,2375,22995
nation,England,E92000001,27/03/2020,2653,20620
nation,England,E92000001,26/03/2020,2616,17967
nation,England,E92000001,25/03/2020,2266,15351
nation,England,E92000001,24/03/2020,2025,13085
nation,England,E92000001,23/03/2020,2016,11060
nation,England,E92000001,22/03/2020,1209,9044
nation,England,E92000001,21/03/2020,1036,7835
nation,England,E92000001,20/03/2020,1082,6799
nation,England,E92000001,19/03/2020,930,5717
nation,England,E92000001,18/03/2020,909,4787
nation,England,E92000001,17/03/2020,679,3878
nation,England,E92000001,16/03/2020,546,3199
nation,England,E92000001,15/03/2020,398,2653
nation,England,E92000001,14/03/2020,314,2255
nation,England,E92000001,13/03/2020,393,1941
nation,England,E92000001,12/03/2020,415,1548
nation,England,E92000001,11/03/2020,353,1133
nation,England,E92000001,10/03/2020,226,780
nation,England,E92000001,09/03/2020,124,554
nation,England,E92000001,08/03/2020,50,430
nation,England,E92000001,07/03/2020,54,380
nation,England,E92000001,06/03/2020,73,326
nation,England,E92000001,05/03/2020,47,253
nation,England,E92000001,04/03/2020,49,206
nation,England,E92000001,03/03/2020,53,157
nation,England,E92000001,02/03/2020,39,104
nation,England,E92000001,01/03/2020,20,65
nation,England,E92000001,29/02/2020,5,45
nation,England,E92000001,28/02/2020,11,40
nation,England,E92000001,27/02/2020,7,29
nation,England,E92000001,26/02/2020,4,22
nation,England,E92000001,25/02/2020,5,18
nation,England,E92000001,24/02/2020,2,13
nation,England,E92000001,23/02/2020,1,11
nation,England,E92000001,22/02/2020,0,10
nation,England,E92000001,21/02/2020,1,10
nation,England,E92000001,20/02/2020,0,9
nation,England,E92000001,19/02/2020,0,9
nation,England,E92000001,18/02/2020,0,9
nation,England,E92000001,17/02/2020,0,9
nation,England,E92000001,16/02/2020,0,9
nation,England,E92000001,15/02/2020,0,9
nation,England,E92000001,14/02/2020,0,9
nation,England,E92000001,13/02/2020,0,9
nation,England,E92000001,12/02/2020,0,9
nation,England,E92000001,11/02/2020,1,9
nation,England,E92000001,10/02/2020,0,8
nation,England,E92000001,09/02/2020,1,8
nation,England,E92000001,08/02/2020,4,7
nation,England,E92000001,07/02/2020,0,3
nation,England,E92000001,06/02/2020,0,3
nation,England,E92000001,05/02/2020,1,3
nation,England,E92000001,04/02/2020,0,2
nation,England,E92000001,03/02/2020,0,2
nation,England,E92000001,02/02/2020,0,2
nation,England,E92000001,01/02/2020,0,2
nation,England,E92000001,31/01/2020,0,2
nation,England,E92000001,30/01/2020,2,2
nation,Northern Ireland,N92000002,21/10/2020,731,31034
nation,Northern Ireland,N92000002,20/10/2020,1046,30303
nation,Northern Ireland,N92000002,19/10/2020,1093,29257
nation,Northern Ireland,N92000002,18/10/2020,832,28164
nation,Northern Ireland,N92000002,17/10/2020,877,27332
nation,Northern Ireland,N92000002,16/10/2020,1018,26455
nation,Northern Ireland,N92000002,15/10/2020,1156,25437
nation,Northern Ireland,N92000002,14/10/2020,1110,24281
nation,Northern Ireland,N92000002,13/10/2020,1127,23171
nation,Northern Ireland,N92000002,12/10/2020,1139,22044
nation,Northern Ireland,N92000002,11/10/2020,855,20905
nation,Northern Ireland,N92000002,10/10/2020,815,20050
nation,Northern Ireland,N92000002,09/10/2020,868,19235
nation,Northern Ireland,N92000002,08/10/2020,999,18367
nation,Northern Ireland,N92000002,07/10/2020,1050,17368
nation,Northern Ireland,N92000002,06/10/2020,813,16318
nation,Northern Ireland,N92000002,05/10/2020,720,15505
nation,Northern Ireland,N92000002,04/10/2020,618,14785
nation,Northern Ireland,N92000002,03/10/2020,630,14167
nation,Northern Ireland,N92000002,02/10/2020,706,13537
nation,Northern Ireland,N92000002,01/10/2020,487,12831
nation,Northern Ireland,N92000002,30/09/2020,645,12344
nation,Northern Ireland,N92000002,29/09/2020,398,11699
nation,Northern Ireland,N92000002,28/09/2020,301,11301
nation,Northern Ireland,N92000002,27/09/2020,273,11000
nation,Northern Ireland,N92000002,26/09/2020,271,10727
nation,Northern Ireland,N92000002,25/09/2020,246,10456
nation,Northern Ireland,N92000002,24/09/2020,287,10210
nation,Northern Ireland,N92000002,23/09/2020,222,9923
nation,Northern Ireland,N92000002,22/09/2020,172,9701
nation,Northern Ireland,N92000002,21/09/2020,135,9529
nation,Northern Ireland,N92000002,20/09/2020,124,9394
nation,Northern Ireland,N92000002,19/09/2020,161,9270
nation,Northern Ireland,N92000002,18/09/2020,168,9109
nation,Northern Ireland,N92000002,17/09/2020,170,8941
nation,Northern Ireland,N92000002,16/09/2020,138,8771
nation,Northern Ireland,N92000002,15/09/2020,108,8633
nation,Northern Ireland,N92000002,14/09/2020,120,8525
nation,Northern Ireland,N92000002,13/09/2020,91,8405
nation,Northern Ireland,N92000002,12/09/2020,107,8314
nation,Northern Ireland,N92000002,11/09/2020,73,8207
nation,Northern Ireland,N92000002,10/09/2020,79,8134
nation,Northern Ireland,N92000002,09/09/2020,98,8055
nation,Northern Ireland,N92000002,08/09/2020,56,7957
nation,Northern Ireland,N92000002,07/09/2020,72,7901
